Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-30,2023-12-30,7885,WORLDOFRACING,Entertainment,283.59,
2023-12-28,2023-12-30,7885,TST* EM 7 GRAMS TUSTIN,Dining,57.53,
2023-12-28,2023-12-29,7885,SQ *AIROMA CAFE,Dining,13.35,
2023-12-23,2023-12-28,7885,Returned Mobile ACH Payme,Other,309.00,
2023-12-28,2023-12-28,7885,LULULEMONCOM*,Merchandise,137.92,
2023-12-25,2023-12-26,7885,UBER   *NanShanTieB,Dining,16.03,
2023-12-24,2023-12-26,7885,STARBUCKS 800-782-7282,Dining,4.95,
2023-12-23,2023-12-23,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,309.00
2023-12-21,2023-12-23,7885,FTB CAFETERIA,Dining,9.75,
2023-12-20,2023-12-22,7885,AMAZON.CO.JP,Merchandise,28.09,
2023-12-20,2023-12-20,7885,Amazon.com Payments,Other,447.42,
2023-12-16,2023-12-20,7885,J LANG,Other,14.00,
2023-12-13,2023-12-14,7885,UBER   *SiWeiPiaoXi,Dining,6.93,
2023-12-02,2023-12-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-12-07,2023-12-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,9.99
2023-12-05,2023-12-05,7885,CREDIT-REWARD REDEMPTION,Payment/Credit,,9.59
2023-12-02,2023-12-04,7885,PINEOMINE,Merchandise,9.59,
2023-12-02,2023-12-02,7885,UBER   ONE,Other Travel,9.99,
2023-11-28,2023-11-28,7885,CREDIT-CASH BACK REWARD,Payment/Credit,,0.25
2023-11-26,2023-11-27,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,809.05
2023-11-26,2023-11-27,7885,FASTRAK CSC,Gas/Automotive,25.00,
2023-11-24,2023-11-27,7885,STARBUCKS 800-782-7282,Dining,0.25,
2023-11-21,2023-11-22,7885,Amazon Prime*4C8TS36X3,Other Services,15.74,
2023-11-20,2023-11-21,7885,AMZN Mktp US*Y20199BH3,Merchandise,16.72,
2023-11-18,2023-11-20,7885,CITY OF SM PARKPAYBYPH,Other Services,1.25,
2023-11-19,2023-11-20,7885,ANOTHER PLANET,Merchandise,203.13,
2023-11-18,2023-11-20,7885,UBER   *DaHanSiChu,Dining,10.10,
2023-11-15,2023-11-16,7885,SOUTHPAW SUSHI,Dining,119.40,
2023-11-02,2023-11-13,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-11-07,2023-11-13,7885,FTB CAFETERIA,Dining,6.75,
2023-11-09,2023-11-10,7885,BYT*SACRT,Other Travel,2.50,
2023-11-07,2023-11-09,7885,Returned ACH Card Payment,Other,141.07,
2023-11-08,2023-11-09,7885,PANDA EXPRESS #3447,Dining,8.84,
2023-11-07,2023-11-09,7885,TOPGOLF ROSEVILLE 028-,Dining,46.63,
2023-11-07,2023-11-08,7885,BURGER KING #10835 Q07,Dining,15.29,
2023-11-07,2023-11-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,141.07
2023-11-06,2023-11-07,7885,AMZN Mktp US*KB0XT4803,Merchandise,43.07,
2023-11-05,2023-11-06,7885,WORTON'S MARKET,Merchandise,24.26,
2023-11-04,2023-11-06,7885,AUTOZONE #5546,Gas/Automotive,37.51,
2023-11-04,2023-11-06,7885,FAST TRACK HOBBIES,Merchandise,15.57,
2023-11-05,2023-11-06,7885,UBER   *MuWeiErBei,Dining,3.43,
2023-11-04,2023-11-06,7885,CRACKERBARREL 756 ROCK,Dining,63.84,
2023-11-04,2023-11-06,7885,RUBIO'S #088,Dining,18.94,
2023-11-04,2023-11-04,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,32.06
2023-11-04,2023-11-04,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,83.89
2023-11-03,2023-11-04,7885,PANDA EXPRESS #3447,Dining,8.84,
2023-11-04,2023-11-04,7885,McDonalds 33506,Dining,7.54,
2023-11-02,2023-11-03,7885,ONLYFANS.COM*A,Other,29.44,
2023-11-02,2023-11-03,7885,ONLYFANS.COM*A,Other,3.75,
2023-11-02,2023-11-03,7885,ONLYFANS.COM*A,Other,7.50,
2023-11-02,2023-11-03,7885,Subway 29406,Dining,16.08,
2023-11-02,2023-11-02,7885,CREDIT-CASH BACK REWARD,Payment/Credit,,461.25
2023-11-02,2023-11-02,7885,UBER   ONE,Other Travel,9.99,
2023-11-02,2023-11-02,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,419.54
2023-10-31,2023-11-02,7885,FTB CAFETERIA,Dining,8.90,
2023-10-31,2023-11-02,7885,TOPGOLF ROSEVILLE 028-,Dining,69.67,
2023-10-31,2023-11-01,7885,UBER   *XiaoTangNai,Dining,7.89,
2023-10-28,2023-10-31,7885,HIDDEN DUMPLING HOUSE,Dining,122.14,
2023-10-30,2023-10-31,7885,COLDSTONE #20168,Dining,7.58,
2023-10-26,2023-10-31,7885,FTB CAFETERIA,Dining,6.70,
2023-10-29,2023-10-30,7885,SARI SARI ORIENTAL MAR,Merchandise,3.88,
2023-10-29,2023-10-30,7885,CALIFORNIA STATE FAIR,Other Services,13.00,
2023-10-28,2023-10-30,7885,UNCLE SHARKII POKE PAR,Dining,18.58,
2023-10-28,2023-10-30,7885,SQ *EXHALE HOOKAH LOUN,Other Services,44.15,
2023-10-28,2023-10-30,7885,SQ *NITTY'S CIDER,Merchandise,24.38,
2023-10-27,2023-10-28,7885,UBER EATS,Dining,9.13,
2023-10-24,2023-10-26,7885,CHEAPER CIGARETTE STOR,Merchandise,30.50,
2023-10-24,2023-10-26,7885,TACO BELL 23159,Dining,11.06,
2023-10-24,2023-10-26,7885,TOPGOLF ROSEVILLE 028-,Dining,41.16,
2023-10-22,2023-10-24,7885,TASTY POT LLC,Dining,43.47,
2023-10-23,2023-10-24,7885,UBER   EATS,Dining,48.57,
2023-10-22,2023-10-23,7885,TARGET        00015024,Merchandise,14.00,
2023-10-21,2023-10-23,7885,NEW O TASTY MONGOLIAN,Dining,17.55,
2023-10-21,2023-10-23,7885,GOLDEN KOI BUFFET ROSE,Dining,118.47,
2023-10-21,2023-10-23,7885,ASI AQUATIC CENTER,Other,22.50,
2023-10-21,2023-10-23,7885,020 FBV STUDIO MOVIE G,Dining,100.00,
2023-10-21,2023-10-23,7885,SAMS CLUB #6621,Merchandise,12.91,
2023-10-21,2023-10-23,7885,Amazon Prime*0N3833CF3,Other Services,15.74,
2023-10-20,2023-10-21,7885,020WEB STUDIO MOVIE GR,Entertainment,16.70,
2023-10-19,2023-10-21,7885,PLATINUM WINE LOUNGE,Dining,84.62,
2023-10-19,2023-10-20,7885,KRISPY KREME #9050,Dining,35.98,
2023-10-19,2023-10-19,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,419.54
2023-10-18,2023-10-19,7885,THE CURRY LEAVES,Dining,93.17,
2023-10-18,2023-10-19,7885,RAISING CANES 0569,Dining,12.27,
2023-10-17,2023-10-18,7885,KP INTERNATIONAL MARKE,Merchandise,31.41,
2023-10-15,2023-10-17,7885,HAPPY LAMB HOT POT,Dining,145.80,
2023-10-17,2023-10-17,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,295.02
2023-10-15,2023-10-16,7885,MOANING CAVERNS ADVENT,Entertainment,14.99,
2023-10-15,2023-10-16,7885,MOANING CAVERNS ADVENT,Entertainment,92.00,
2023-10-15,2023-10-16,7885,MATELOT GULCH MINING C,Merchandise,45.00,
2023-10-15,2023-10-16,7885,FALLON HOUSE ICE CREAM,Dining,21.00,
2023-10-14,2023-10-16,7885,CURRY VILLAGE GROCERY,Merchandise,11.76,
2023-10-14,2023-10-16,7885,SAFEWAY #3127,Merchandise,71.54,
2023-10-14,2023-10-16,7885,CHEVRON 0092672,Gas/Automotive,6.31,
2023-10-13,2023-10-14,7885,THE FOAT,Other Services,27.23,
2023-10-13,2023-10-14,7885,AMZN Mktp US*TP3555T42,Merchandise,20.26,
2023-10-13,2023-10-13,7885,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,3.20,
2023-10-13,2023-10-13,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,346.54
2023-10-12,2023-10-13,7885,FTB CAFETERIA,Dining,4.75,
2023-10-02,2023-10-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-10-11,2023-10-12,7885,CONSOLIDATED COMMUNICA,Phone/Cable,75.62,
2023-10-12,2023-10-12,7885,AMZN Mktp US*TP1WS5Z80,Merchandise,194.48,
2023-10-12,2023-10-12,7885,AIRBNB  HM4NJE392R,Other Travel,182.87,
